table_name,column_name,ordinal_position,data_type,is_nullable,column_default
alert,id,1,integer,NO,nextval('alert_id_seq'::regclass)
alert,version,2,bigint,NO,
alert,dashboard_id,3,bigint,NO,
alert,panel_id,4,bigint,NO,
alert,org_id,5,bigint,NO,
alert,name,6,character varying,NO,
alert,message,7,text,NO,
alert,state,8,character varying,NO,
alert,settings,9,text,NO,
alert,frequency,10,bigint,NO,
alert,handler,11,bigint,NO,
alert,severity,12,text,NO,
alert,silenced,13,boolean,NO,
alert,execution_error,14,text,NO,
alert,eval_data,15,text,YES,
alert,eval_date,16,timestamp without time zone,YES,
alert,new_state_date,17,timestamp without time zone,NO,
alert,state_changes,18,integer,NO,
alert,created,19,timestamp without time zone,NO,
alert,updated,20,timestamp without time zone,NO,
alert,for,21,bigint,YES,
alert_configuration,id,1,integer,NO,nextval('alert_configuration_id_seq'::regclass)
alert_configuration,alertmanager_configuration,2,text,NO,
alert_configuration,configuration_version,3,character varying,NO,
alert_configuration,created_at,4,integer,NO,
alert_configuration,default,5,boolean,NO,false
alert_configuration,org_id,6,bigint,NO,0
alert_configuration,configuration_hash,7,character varying,NO,'not-yet-calculated'::character varying
alert_configuration_history,id,1,integer,NO,nextval('alert_configuration_history_id_seq'::regclass)
alert_configuration_history,org_id,2,bigint,NO,0
alert_configuration_history,alertmanager_configuration,3,text,NO,
alert_configuration_history,configuration_hash,4,character varying,NO,'not-yet-calculated'::character varying
alert_configuration_history,configuration_version,5,character varying,NO,
alert_configuration_history,created_at,6,integer,NO,
alert_configuration_history,default,7,boolean,NO,false
alert_configuration_history,last_applied,8,integer,NO,0
alert_image,id,1,integer,NO,nextval('alert_image_id_seq'::regclass)
alert_image,token,2,character varying,NO,
alert_image,path,3,character varying,NO,
alert_image,url,4,character varying,NO,
alert_image,created_at,5,timestamp without time zone,NO,
alert_image,expires_at,6,timestamp without time zone,NO,
alert_instance,rule_org_id,1,bigint,NO,
alert_instance,rule_uid,2,character varying,NO,0
alert_instance,labels,3,text,NO,
alert_instance,labels_hash,4,character varying,NO,
alert_instance,current_state,5,character varying,NO,
alert_instance,current_state_since,6,bigint,NO,
alert_instance,last_eval_time,7,bigint,NO,
alert_instance,current_state_end,8,bigint,NO,0
alert_instance,current_reason,9,character varying,YES,
alert_instance,result_fingerprint,10,character varying,YES,
alert_instance,resolved_at,11,bigint,YES,
alert_instance,last_sent_at,12,bigint,YES,
alert_notification,id,1,integer,NO,nextval('alert_notification_id_seq'::regclass)
alert_notification,org_id,2,bigint,NO,
alert_notification,name,3,character varying,NO,
